,Unnamed: 0,Path,Upper,Lower,pred
6578,6578,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-98.jpg,"40.2153038978577, -74.4205498695374","40.2035558223724, -74.4092738628387",0
6579,6579,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_64-99.jpg,"40.2035558223724, -74.4205498695374","40.1918077468872, -74.4092738628387",0
6580,6580,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-1.jpg,"41.3548672199249, -74.4092738628387","41.3431191444397, -74.3979978561401",0
6581,6581,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-10.jpg,"41.2491345405579, -74.4092738628387","41.2373864650726, -74.3979978561401",610
6582,6582,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-100.jpg,"40.1918077468872, -74.4092738628387","40.180059671402, -74.3979978561401",1
6583,6583,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-11.jpg,"41.2373864650726, -74.4092738628387","41.2256383895874, -74.3979978561401",0
6584,6584,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-12.jpg,"41.2256383895874, -74.4092738628387","41.2138903141022, -74.3979978561401",0
6585,6585,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-13.jpg,"41.2138903141022, -74.4092738628387","41.2021422386169, -74.3979978561401",1
6586,6586,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-14.jpg,"41.2021422386169, -74.4092738628387","41.1903941631317, -74.3979978561401",0
6587,6587,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-15.jpg,"41.1903941631317, -74.4092738628387","41.1786460876465, -74.3979978561401",0
6588,6588,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-16.jpg,"41.1786460876465, -74.4092738628387","41.1668980121613, -74.3979978561401",0
6589,6589,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-17.jpg,"41.1668980121613, -74.4092738628387","41.155149936676, -74.3979978561401",0
6590,6590,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-18.jpg,"41.155149936676, -74.4092738628387","41.1434018611908, -74.3979978561401",2
6591,6591,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-19.jpg,"41.1434018611908, -74.4092738628387","41.1316537857056, -74.3979978561401",0
6592,6592,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-2.jpg,"41.3431191444397, -74.4092738628387","41.3313710689545, -74.3979978561401",0
6593,6593,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-20.jpg,"41.1316537857056, -74.4092738628387","41.1199057102203, -74.3979978561401",0
6594,6594,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-21.jpg,"41.1199057102203, -74.4092738628387","41.1081576347351, -74.3979978561401",0
6595,6595,/home/irene/ISEF-Project-2023/Data/DensityNJ/1_65-22.jpg,"41.1081576347351, -74.4092738628387","41.0964095592499, -74.3979978561401",3
